Date;Open;High;Low;Close;Adj Close;Volume
26/10/2015;8.050.000;8.130.000;7.800.000;7.850.000;7.282.466;35069500
27/10/2015;7.860.000;7.860.000;7.550.000;7.600.000;7.050.539;44085700
28/10/2015;7.870.000;7.950.000;7.860.000;7.950.000;7.375.236;4630900
29/10/2015;7.570.000;7.930.000;7.570.000;7.610.000;7.059.817;41336300
30/10/2015;7.600.000;7.780.000;7.540.000;7.710.000;7.152.587;36951300
03/11/2015;7.840.000;8.480.000;7.770.000;8.480.000;7.866.919;60306200
04/11/2015;8.580.000;8.650.000;8.020.000;8.080.000;7.495.837;55661500
05/11/2015;8.080.000;8.170.000;7.870.000;8.110.000;7.523.668;92690300
06/11/2015;8.040.000;8.080.000;7.730.000;7.820.000;7.254.635;39680600
09/11/2015;7.830.000;7.930.000;7.590.000;7.910.000;7.338.127;36340400
10/11/2015;7.600.000;7.690.000;7.510.000;7.610.000;7.059.817;34554300
11/11/2015;7.710.000;7.830.000;7.640.000;7.720.000;7.161.864;44596400
12/11/2015;7.720.000;7.740.000;7.530.000;7.580.000;7.031.986;41641400
13/11/2015;7.500.000;7.560.000;7.230.000;7.270.000;6.744.398;67000600
16/11/2015;7.310.000;7.700.000;7.310.000;7.700.000;7.143.311;56587800
17/11/2015;7.800.000;7.860.000;7.640.000;7.760.000;7.198.972;52072800
18/11/2015;7.810.000;8.030.000;7.790.000;7.820.000;7.254.635;38137700
19/11/2015;7.960.000;7.980.000;7.620.000;7.840.000;7.273.189;51878600
23/11/2015;7.900.000;8.100.000;7.850.000;8.080.000;7.495.837;47415800
24/11/2015;8.050.000;8.500.000;7.950.000;8.500.000;7.885.472;63001700
25/11/2015;8.280.000;8.350.000;7.900.000;7.900.000;7.328.851;54732800
26/11/2015;7.950.000;8.040.000;7.820.000;7.920.000;7.347.405;21697100
27/11/2015;7.810.000;7.860.000;7.570.000;7.600.000;7.050.539;38334200
30/11/2015;7.540.000;7.840.000;7.420.000;7.670.000;7.115.479;72764300
01/12/2015;7.670.000;7.760.000;7.450.000;7.490.000;6.948.492;35865600
02/12/2015;7.540.000;7.590.000;7.350.000;7.520.000;6.976.325;47713500
03/12/2015;7.990.000;8.170.000;7.790.000;7.980.000;7.403.068;76680900
04/12/2015;7.970.000;7.970.000;7.420.000;7.520.000;6.976.325;63662600
07/12/2015;7.600.000;7.610.000;7.150.000;7.190.000;6.670.183;47395000
08/12/2015;7.200.000;7.200.000;6.950.000;7.130.000;6.614.520;46590500
09/12/2015;7.340.000;7.820.000;7.270.000;7.650.000;7.096.925;82102800
10/12/2015;7.510.000;7.570.000;7.310.000;7.450.000;6.911.385;43458400
11/12/2015;7.260.000;7.530.000;7.210.000;7.250.000;6.725.843;50750600
14/12/2015;7.150.000;7.230.000;7.070.000;7.210.000;6.688.735;33538000
15/12/2015;7.340.000;7.470.000;7.300.000;7.420.000;6.883.553;34188900
16/12/2015;7.280.000;7.360.000;7.090.000;7.290.000;6.762.952;39840300
17/12/2015;7.350.000;7.520.000;7.190.000;7.200.000;6.679.459;43789300
18/12/2015;7.020.000;7.100.000;6.920.000;7.020.000;6.512.473;60061600
21/12/2015;7.060.000;7.090.000;6.620.000;6.640.000;6.159.945;54032100
22/12/2015;6.760.000;6.820.000;6.620.000;6.790.000;6.299.101;40463400
23/12/2015;6.910.000;7.040.000;6.870.000;6.930.000;6.428.978;38789700
28/12/2015;6.900.000;6.900.000;6.650.000;6.700.000;6.215.607;28617600
29/12/2015;6.810.000;6.870.000;6.680.000;6.690.000;6.206.331;22441300
30/12/2015;6.660.000;6.760.000;6.520.000;6.700.000;6.215.607;30041600
04/01/2016;6.570.000;7.030.000;6.550.000;6.870.000;6.373.318;45962100
05/01/2016;6.920.000;7.000.000;6.620.000;6.680.000;6.197.053;29446700
06/01/2016;6.530.000;6.540.000;6.400.000;6.400.000;5.937.296;67507200
07/01/2016;6.190.000;6.430.000;6.080.000;6.260.000;5.807.419;57387900
08/01/2016;6.380.000;6.450.000;6.130.000;6.270.000;5.816.695;52100300
11/01/2016;6.270.000;6.300.000;6.050.000;6.090.000;5.649.709;51334000
12/01/2016;6.120.000;6.120.000;5.510.000;5.530.000;5.130.196;81627800
13/01/2016;5.700.000;5.740.000;5.250.000;5.270.000;4.888.993;70874300
14/01/2016;5.310.000;5.690.000;5.130.000;5.690.000;5.278.628;76854200
15/01/2016;5.350.000;5.440.000;5.160.000;5.170.000;4.796.223;75571500
18/01/2016;5.190.000;5.210.000;4.800.000;4.800.000;4.452.973;46407200
19/01/2016;5.030.000;5.050.000;4.640.000;4.660.000;4.323.093;66529300
20/01/2016;4.500.000;4.500.000;4.260.000;4.430.000;4.109.723;92914100
21/01/2016;4.370.000;4.670.000;4.360.000;4.500.000;4.174.661;87455300
22/01/2016;4.730.000;4.770.000;4.400.000;4.410.000;4.091.169;100576600
26/01/2016;4.230.000;4.310.000;4.120.000;4.200.000;3.896.351;71933300
27/01/2016;4.220.000;4.640.000;4.160.000;4.570.000;4.239.601;79437900
28/01/2016;4.670.000;5.130.000;4.350.000;4.600.000;4.267.432;131960900
29/01/2016;4.700.000;4.860.000;4.520.000;4.840.000;4.490.080;93013900
01/02/2016;4.740.000;4.860.000;4.660.000;4.720.000;4.378.756;51910300
02/02/2016;4.560.000;4.650.000;4.300.000;4.300.000;3.989.122;53610300
03/02/2016;4.420.000;4.520.000;4.220.000;4.490.000;4.165.385;73786400
04/02/2016;4.560.000;4.940.000;4.360.000;4.730.000;4.388.032;91974200
05/02/2016;4.730.000;4.780.000;4.530.000;4.540.000;4.211.770;52704500
10/02/2016;4.300.000;4.410.000;4.280.000;4.310.000;3.998.398;45747400
11/02/2016;4.200.000;4.270.000;4.120.000;4.230.000;3.924.182;59451500
12/02/2016;4.370.000;4.510.000;4.300.000;4.450.000;4.128.277;64027200
15/02/2016;4.560.000;4.600.000;4.520.000;4.570.000;4.239.601;28490400
16/02/2016;4.500.000;4.640.000;4.420.000;4.440.000;4.118.999;80343900
17/02/2016;4.540.000;4.820.000;4.510.000;4.680.000;4.341.647;84473100
18/02/2016;4.690.000;4.870.000;4.550.000;4.590.000;4.258.154;65026900
19/02/2016;4.500.000;4.570.000;4.400.000;4.460.000;4.137.554;56031000
22/02/2016;4.670.000;5.040.000;4.630.000;5.040.000;4.675.621;80150300
23/02/2016;4.950.000;5.280.000;4.820.000;4.920.000;4.564.297;85037400
24/02/2016;4.770.000;4.930.000;4.650.000;4.870.000;4.517.911;75039700
25/02/2016;4.810.000;5.080.000;4.790.000;4.890.000;4.536.466;70393700
26/02/2016;5.020.000;5.100.000;4.830.000;4.870.000;4.517.911;61396800
29/02/2016;5.080.000;5.230.000;4.980.000;5.140.000;4.768.392;84165000
01/03/2016;5.310.000;5.370.000;5.100.000;5.310.000;4.926.101;80939200
02/03/2016;5.210.000;5.650.000;5.150.000;5.650.000;5.241.520;88545800
03/03/2016;6.570.000;6.570.000;6.570.000;6.570.000;6.095.006;186772500
04/03/2016;6.570.000;7.900.000;6.570.000;7.220.000;6.698.011;175922100
07/03/2016;7.250.000;7.530.000;6.950.000;7.370.000;6.837.168;85041400
08/03/2016;7.370.000;7.840.000;7.080.000;7.470.000;6.929.938;137169400
09/03/2016;7.700.000;7.780.000;7.360.000;7.600.000;7.050.539;84821900
10/03/2016;7.800.000;7.960.000;7.310.000;7.950.000;7.375.236;117672300
11/03/2016;7.940.000;8.220.000;7.670.000;8.090.000;7.505.114;92331300
14/03/2016;8.130.000;8.200.000;7.400.000;7.400.000;6.864.999;86084700
15/03/2016;6.830.000;6.960.000;6.560.000;6.610.000;6.132.115;104913200
16/03/2016;6.510.000;7.230.000;6.410.000;7.230.000;6.707.290;85533000
17/03/2016;8.150.000;8.190.000;7.710.000;8.100.000;7.514.391;118294200
18/03/2016;8.090.000;8.170.000;7.720.000;8.120.000;7.532.945;77182400
21/03/2016;8.080.000;8.270.000;7.930.000;8.060.000;7.477.283;65837300
22/03/2016;7.850.000;8.180.000;7.730.000;8.110.000;7.523.668;84549700
23/03/2016;7.880.000;7.960.000;7.660.000;7.780.000;7.217.527;61437900
24/03/2016;7.530.000;8.000.000;7.320.000;7.810.000;7.245.358;52343300
28/03/2016;8.150.000;8.480.000;7.910.000;8.440.000;7.829.810;69818700
29/03/2016;8.340.000;8.850.000;8.190.000;8.490.000;7.876.195;89050200
30/03/2016;8.700.000;9.000.000;8.280.000;8.440.000;7.829.810;90059600
31/03/2016;8.310.000;8.310.000;8.310.000;8.310.000;7.709.209;737700
01/04/2016;8.360.000;8.360.000;8.360.000;8.360.000;7.755.593;374500
04/04/2016;7.540.000;7.540.000;7.540.000;7.540.000;6.994.877;865300
05/04/2016;7.800.000;7.800.000;7.800.000;7.800.000;7.236.081;684100
06/04/2016;7.580.000;7.580.000;7.580.000;7.580.000;7.031.986;457400
07/04/2016;7.700.000;7.700.000;7.700.000;7.700.000;7.143.311;324800
08/04/2016;8.130.000;8.340.000;8.040.000;8.260.000;7.662.824;84448200
11/04/2016;8.390.000;8.390.000;8.390.000;8.390.000;7.783.426;449600
12/04/2016;9.040.000;9.040.000;9.040.000;9.040.000;8.386.433;648900
13/04/2016;9.490.000;9.490.000;9.490.000;9.490.000;8.803.898;782300
14/04/2016;9.730.000;9.770.000;9.120.000;9.160.000;8.497.756;77355500
15/04/2016;9.250.000;9.830.000;9.070.000;9.690.000;8.989.438;95590000
18/04/2016;9.650.000;9.720.000;8.890.000;9.240.000;8.571.973;88873100
19/04/2016;9.610.000;9.610.000;9.610.000;9.610.000;8.915.220;370500
20/04/2016;9.400.000;9.640.000;9.340.000;9.480.000;8.794.621;53295800
22/04/2016;9.320.000;9.930.000;9.290.000;9.750.000;9.045.100;63322900
25/04/2016;9.710.000;9.900.000;9.330.000;9.330.000;8.655.465;56585400
26/04/2016;9.480.000;9.740.000;9.340.000;9.670.000;8.970.884;40460400
27/04/2016;9.850.000;10.300.000;9.770.000;10.250.000;9.508.953;86397900
28/04/2016;10.230.000;10.540.000;10.080.000;10.230.000;9.490.397;57741500
29/04/2016;10.230.000;10.540.000;10.010.000;10.230.000;9.490.397;53931300
02/05/2016;10.250.000;10.360.000;9.930.000;10.170.000;9.434.735;48618800
03/05/2016;10.010.000;10.090.000;9.710.000;9.780.000;9.072.931;47074700
04/05/2016;9.850.000;10.150.000;9.850.000;9.920.000;9.202.810;43389500
05/05/2016;10.280.000;10.300.000;9.600.000;9.810.000;9.100.763;65074500
