numNF;cnpj;chave
35928;104176689/000160;13200504176689000160550600000359281088382310
35928;104176689/000160;13200504176689000160550600000359281088382310
35930;104176689/000160;13200504176689000160550600000359301557500645
35930;104176689/000160;13200504176689000160550600000359301557500645
35969;104176689/000160;13200504176689000160550600000359691632371287
35969;104176689/000160;13200504176689000160550600000359691632371287
919219;76492701/000742;42200476492701000742550100009192191157526120
919220;76492701/000742;42200476492701000742550100009192201192510791
919221;76492701/000742;42200476492701000742550100009192211986642250
919222;76492701/000742;42200476492701000742550100009192221176449964
919223;76492701/000742;42200476492701000742550100009192231934788851
919224;76492701/000742;42200476492701000742550100009192241888038007
919225;76492701/000742;42200476492701000742550100009192251819146464
919226;76492701/000742;42200476492701000742550100009192261255078461
919227;76492701/000742;42200476492701000742550100009192271257312272
919228;76492701/000742;42200476492701000742550100009192281565005262
919229;76492701/000742;42200476492701000742550100009192291577540408
919230;76492701/000742;42200476492701000742550100009192301722179767
919231;76492701/000742;42200476492701000742550100009192311942528857
919232;76492701/000742;42200476492701000742550100009192321779860603
919233;76492701/000742;42200476492701000742550100009192331945721520
919234;76492701/000742;42200476492701000742550100009192341716754070
919235;76492701/000742;42200476492701000742550100009192351793415095
919236;76492701/000742;42200476492701000742550100009192361008936174
919237;76492701/000742;42200476492701000742550100009192371833018428
919238;76492701/000742;42200476492701000742550100009192381182423998
919239;76492701/000742;42200476492701000742550100009192391214730650
919240;76492701/000742;42200476492701000742550100009192401722734880
919241;76492701/000742;42200476492701000742550100009192411432249642
919242;76492701/000742;42200476492701000742550100009192421481109198
919245;76492701/000742;42200476492701000742550100009192451530707377
919246;76492701/000742;42200476492701000742550100009192461925430685
919250;76492701/000742;42200476492701000742550100009192501645890719
919251;76492701/000742;42200476492701000742550100009192511259860736
919252;76492701/000742;42200476492701000742550100009192521185519618
919253;76492701/000742;42200476492701000742550100009192531494620639
919254;76492701/000742;42200476492701000742550100009192541334686230
35928;104176689/000160;
35928;104176689/000160;
35928;104176689/000160;13200504176689000160550600000359281088382310
35928;104176689/000160;13200504176689000160550600000359281088382310
